연도	시도	시군구	계열구분	설립구분	남녀구분	지역규모	학교명	주야간	교원수								직원수	학생수	학급수	홈페이지
									계		보통교과담당		전문교과담당		기타					
									계	여자	계	여자	계	여자	계	여자				
2018	인천	남구	상업고등학교	공립	여자	특별/광역시	문학정보고등학교	주간	69	57	31	26	30	25	8	6	5	750	31	http://munhak.icehs.kr
2018	인천	남구	상업고등학교	공립	여자	특별/광역시	인천비즈니스고등학교	주간	68	50	24	19	32	22	12	9	3	675	29	http://www.ibg.icehs.kr
2018	인천	남구	공업고등학교	공립	남여공학	특별/광역시	인천전자마이스터고등학교	주간	80	39	17	13	48	16	15	10	11	473	24	http://intec.icehs.kr
2018	인천	연수구	공업고등학교	공립	여자	특별/광역시	인천뷰티예술고등학교	주간	65	54	16	12	32	29	17	13	6	656	26	http://ibas.icehs.kr
2018	인천	연수구	공업고등학교	공립	남자	특별/광역시	청학공업고등학교	주간	73	24	19	10	41	5	13	9	6	677	30	http://cht.icehs.kr
2018	인천	연수구	수산고등학교	공립	남자	특별/광역시	인천해양과학고등학교	주간	72	31	25	13	42	15	5	3	9	525	27	http://mars.icehs.kr
2018	인천	연수구	실업고등학교	공립	남여공학	특별/광역시	인천생활과학고등학교	주간	63	53	19	14	35	33	9	6	4	695	26	http://www.ips.icehs.kr
2018	인천	남동구	상업고등학교	사립	여자	특별/광역시	인천금융고등학교	주간	58	30	23	11	28	15	7	4	6	764	28	http://finance.icehs.kr
2018	인천	부평구	공업고등학교	공립	남자	특별/광역시	부평공업고등학교	주간	71	22	22	11	37	4	12	7	6	845	32	http://pth.icehs.kr
2018	인천	부평구	공업고등학교	공립	여자	특별/광역시	인천미래생활고등학교	주간	70	35	23	13	38	15	9	7	6	558	30	http://www.icl.icehs.kr
2018	인천	부평구	공업고등학교	사립	남여공학	특별/광역시	인평자동차고등학교	주간	42	12	14	6	22	3	6	3	5	502	18	http://www.inpyung.hs.kr
2018	인천	계양구	공업고등학교	공립	남자	특별/광역시	계산공업고등학교	주간	77	31	24	15	44	13	9	3	7	854	32	http://www.iks.icehs.kr
2018	인천	서구	공업고등학교	공립	남여공학	특별/광역시	인천디자인고등학교	주간	77	53	23	12	39	29	15	12	6	843	32	http://indigo.icehs.kr
2018	인천	서구	공업고등학교	사립	남여공학	특별/광역시	한국주얼리고등학교	주간	29	11	13	4	13	6	3	1	6	317	12	http://www.koreajewelry.icehs.kr
